id,url,title,lead_paragraph,category,publish_datetime,source,thumbnail_url,label,province_fixed,province_names,is_noise,noise_reasons
article_2066,https://thanhnien.vn/tap-doan-marriot-khai-truong-khach-san-dau-tien-tai-da-nang-185250529154351717.htm,Courtyard by Marriott khai trương khách sạn đầu tiên tại Đà Nẵng,"Courtyard by Marriott, một trong hơn 30 thương hiệu khách sạn sang trọng nhất của Tập đoàn Marriott Bonvoy, lần đầu tiên có mặt tại vị trí đắc địa nhất TP.Đà Nẵng",Other,2025-05-29T16:50:00+07:00,Thanh Niên,data/images/article_2066_image.png,non-clickbait,False,,False,
article_2703,https://www.24h.com.vn/thoi-trang/sac-voc-con-gai-cuu-van-dong-vien-thuy-hien-c78a1671727.html,Sắc vóc con gái cựu vận động viên Thúy Hiền,"Ngân Hà, 21 tuổi, con gái cựu vận động viên Thúy Hiền, diện crop top, váy ngắn mang đặc trưng phong cách Y2K trong bộ ảnh.",Other,2025-06-12T17:04:02+07:00,24h,data/images/article_2703_image.png,non-clickbait,False,,False,
article_0425,https://kenh14.vn/thien-truong-tray-hoi-trong-ngay-nam-dinh-dang-quang-ngoi-vo-dich-v-league-215250622195443839.chn,Thiên Trường trẩy hội trong ngày Nam Định đăng quang ngôi vô địch V-League,"Chiều 22/6, CLB Thép Xanh Nam Định đã chính thức đăng quang ngôi vô địch LPbank V-League 2024/25 bằng chiến thắng 1-0 trước Hồng Lĩnh Hà Tĩnh. Đông đảo CĐV Nam Định đã tới sân Thiên Trường chia vui với thầy trò HLV Vũ Hồng Việt.",Thể thao,2025-06-22T20:42:00,Kênh14,data/images/article_0425_image.png,non-clickbait,False,,False,
article_2206,https://baomoi.com/g-dragon-cam-on-ha-noi-c52572053.epi,G-Dragon cảm ơn Hà Nội,"G-Dragon, DPR Ian, CL đều bày tỏ trân trọng với sự cổ vũ nhiệt tình của khán giả Thủ đô trong đêm diễn tối 21/6 tại sân vận động Mỹ Đình. 'Cảm ơn Hà Nội - trân trọng', G-Dragon chia sẻ.",Other,2025-06-23T05:53:00.000Z,Báo Mới,data/images/article_2206_image.png,non-clickbait,False,,False,
article_3049,https://vnexpress.net/vinfast-to-chuc-doi-xe-xang-lay-xe-may-dien-4904117.html,VinFast tổ chức đổi xe xăng lấy xe máy điện,"Người dùng bán lại xe máy xăng cho VinFast, đồng thời đổi mẫu xe máy điện ưa thích, được áp dụng loạt chính sách ưu đãi tại sự kiện diễn ra ở Hà Nội, ngày 21-22/6.",Other,2025-06-20T15:20:00+07:00,VnExpress,data/images/article_3049_image.png,non-clickbait,False,,False,
article_0999,https://www.saostar.vn/am-nhac/xon-xao-setlist-khung-cua-g-dragon-trong-dem-nhac-ha-noi-202506211150481682.html,"Xôn xao setlist khủng của G-Dragon trước giờ G, fan kỳ vọng nghe cả 'thánh ca' BIGBANG",Sân vận động Mỹ Đình đang trở thành tâm điểm chú ý khi đón chào sự trở lại của G-Dragon.,Giải trí & Showbiz,2025-06-21T11:50:47.331+07:00,SaoStar,data/images/article_0999_image.png,clickbait,False,,False,
article_3505,https://baomoi.com/bmw-phat-trien-vat-lieu-moi-nhe-hon-than-thien-hon-dan-thay-the-soi-carbon-c52569216.epi,"BMW phát triển vật liệu mới nhẹ hơn, thân thiện hơn, dần thay thế sợi carbon","BMW công bố vật liệu sợi tự nhiên mới làm từ cây lanh, nhẹ và thân thiện môi trường, có thể thay thế sợi carbon trong sản xuất xe. Vật liệu này đã được thử nghiệm trên xe đua và chuẩn bị triển khai trên các mẫu xe hiệu suất cao như BMW M4.",Xe & Vận tải,2025-06-23T01:00:00.000Z,Báo Mới,data/images/article_3505_image.png,non-clickbait,False,,False,
article_3016,https://baomoi.com/ky-bi-the-gioi-tu-nhien-tai-trien-lam-da-dang-sac-mau-con-trung-viet-nam-c52567151.epi,Kỳ bí thế giới tự nhiên tại Triển lãm 'Đa dạng sắc màu côn trùng Việt Nam',"Tại Bảo tàng Đà Nẵng diễn ra Triển lãm 'Đa dạng sắc màu côn trùng Việt Nam', chương trình do Trường Đại học Duy Tân (Đà Nẵng) và Trường Đại học Đà Lạt phối hợp tổ chức từ ngày 22.6 đến ngày 13.7, mở cửa đón khách tham quan miễn phí.",Công nghệ & Khoa học,2025-06-22T07:25:00.000Z,Báo Mới,data/images/article_3016_image.png,non-clickbait,False,,False,
article_3232,https://www.24h.com.vn/giai-tri/ly-do-vu-cat-tuong-lien-tuc-phai-tam-soat-ung-thu-c731a1664319.html,Lý do Vũ Cát Tường liên tục phải tầm soát ung thư,"Vũ Cát Tường tiết lộ bị di truyền căn bệnh viêm gan siêu vi B từ ba. Cô khẳng định với những người mắc căn bệnh này do di truyền, khả năng ung thư rất cao. Vì vậy, Vũ Cát Tường phải uống thuốc hằng ngày và tầm soát ung thư 3 tháng/lần.",Giải trí & Showbiz,2025-05-13T19:00:00+07:00,24h,data/images/article_3232_image.png,clickbait,False,,False,
article_0639,https://thanhnien.vn/tuong-my-he-lo-chien-dich-tan-cong-iran-voi-125-may-bay-quan-su-185250622210404011.htm,Tướng Mỹ hé lộ chiến dịch tấn công Iran với 125 máy bay quân sự,"Chủ tịch Hội đồng Tham mưu trưởng liên quân Mỹ, tướng Dan Caine, vừa hé lộ chiến dịch của Mỹ đánh lừa và tấn công 3 cơ sở hạt nhân ở Iran trong ngày 22.6.",Quốc tế,2025-06-22T22:12:00+07:00,Thanh Niên,data/images/article_0639_image.png,non-clickbait,False,,False,
article_0151,https://www.saostar.vn/giai-tri/diep-lam-anh-gap-su-co-suc-khoe-202506230546350375.html,Diệp Lâm Anh gặp sự cố sức khoẻ,Diệp Lâm Anh gây lo lắng với thông báo mới nhất.,Giải trí & Showbiz,2025-06-23T07:00:00.000+07:00,SaoStar,data/images/article_0151_image.png,clickbait,False,,False,
