id,url,title,lead_paragraph,category,publish_datetime,source,thumbnail_url,label,province_fixed,province_names,is_noise,noise_reasons
article_3551,https://vietnamnet.vn/ban-doc-giup-do-em-tran-thanh-thao-bi-u-nguyen-bao-than-kinh-hon-43-trieu-dong-2410414.html,Bạn đọc giúp đỡ em Trần Thanh Thảo bị u nguyên bào thần kinh hơn 43 triệu đồng,"Báo VietNamNet vừa trao số tiền 43.543.938 đồng, tấm lòng của bạn đọc giúp đỡ em Trần Thanh Thảo (16 tuổi) bị bệnh u nguyên bào thần kinh mạch hầu.",Other,2025-06-12T08:15:00+07:00,VietNamNet,data/images/article_3551_image.png,non-clickbait,False,,False,
article_1195,https://thanhnien.vn/to-ve-so-khong-ngo-mang-lai-4-ti-cho-2-nguoi-ban-ca-o-tay-ninh-185250622145345795.htm,Tờ vé số không ngờ mang lại giải độc đắc 4 tỉ cho 2 người bán cá ở Tây Ninh,"Chê số xấu nên mỗi người chỉ mua 1 tờ, 2 người bán cá ở chợ Tân Biên (Tây Ninh) bất ngờ trúng độc đắc 4 tỉ đồng, khiến cư dân mạng trầm trồ xin vía.",Sức khỏe & Đời sống,2025-06-23T05:30:00+07:00,Thanh Niên,data/images/article_1195_image.png,clickbait,False,,False,
article_3793,https://www.24h.com.vn/giao-duc-du-hoc/ong-noi-gay-sot-voi-cach-khien-khoi-nghi-he-han-che-dien-thoai-cham-lam-viec-c216a1669356.html,"Ông nội gây sốt với cách khiến ‘khối nghỉ hè’ hạn chế điện thoại, chăm làm việc","Ngay trong ngày đầu các cháu về quê, ông nội đã “ban hành” quy định dành cho “khối nghỉ hè” về lịch được xem điện thoại và các hoạt động cần tham gia. Nếu làm trái quy định, các cháu có thể bị “trả về” cho bố mẹ.",Giáo dục & Học đường,2025-06-02T13:00:00+07:00,24h,data/images/article_3793_image.png,clickbait,False,,False,
article_2345,https://vietnamnet.vn/my-tung-b-2-spirit-doi-bom-gbu-57-co-so-hat-nhan-iran-thanh-tro-bui-trong-dem-2413519.html,"B-2 Spirit + GBU-57, bộ đôi sát thủ công nghệ cao khiến cơ sở hạt nhân Iran ‘bay màu’","Tổng thống Donald Trump ngày 21/6 thông báo quân đội Mỹ thực hiện một cuộc không kích 'thành công' nhằm vào 3 cơ sở hạt nhân của Iran, bao gồm Fordow, Natanz và Isfahan bằng máy bay ném bom tàng hình B-2 Spirit mang bom GBU-57 và tên lửa Tomahawk",Công nghệ & Khoa học,"Chủ Nhật, 22/06/2025 - 14:08",VietNamNet,data/images/article_2345_image.png,non-clickbait,False,,False,
article_1500,https://vietnamnet.vn/israel-tan-cong-mot-loat-san-bay-iran-pha-huy-15-chien-dau-co-2414160.html,"Israel tấn công một loạt sân bay Iran, phá hủy 15 chiến đấu cơ","Lực lượng Phòng vệ Israel (IDF) cho biết, máy bay không người lái của nước này đã tấn công 6 sân bay ở phía đông, tây và miền trung Iran, phá hủy 15 chiến đấu cơ và trực thăng của Tehran.",Quốc tế,2025-06-23T14:10:00+07:00,VietNamNet,data/images/article_1500_image.png,non-clickbait,False,,False,
article_1751,https://vnexpress.net/vi-sao-cong-phuong-nhuong-dan-em-da-phat-den-4904595.html,Vì sao Công Phượng nhường đàn em đá phạt đền?,Bình Phước: Tiền đạo Nguyễn Công Phượng nhường Lưu Tự Nhân phạt đền để đồng đội này giành giải Vua phá lưới hạng Nhất và phát triển bản thân.,Thể thao,2025-06-21T20:05:00+07:00,VnExpress,data/images/article_1751_image.png,clickbait,True,Bình Phước,False,
article_0986,https://www.saostar.vn/am-nhac/loi-moi-tu-tong-thong-macron-danh-cho-cha-de-sm-lee-soo-man-202506221254555404.html,Lời mời từ Tổng thống Macron dành cho 'cha đẻ' SM Lee Soo Man,Lee Soo Man đã có cuộc gặp gỡ thú vị với Tổng thống Pháp Emmanuel Macron.,Giải trí & Showbiz,2025-06-22T15:00:00.000+07:00,SaoStar,data/images/article_0986_image.png,non-clickbait,False,,False,
article_0521,https://baomoi.com/cang-thang-israel-iran-gcc-khong-ghi-nhan-muc-do-buc-xa-bat-thuong-sau-khi-my-tan-cong-co-so-hat-nhan-iran-c52572040.epi,Căng thẳng Israel-Iran: GCC không ghi nhận mức độ bức xạ bất thường sau khi Mỹ tấn công cơ sở hạt nhân Iran,"Ngày 22/6, Hội đồng Hợp tác vùng Vịnh (GCC) cho biết không ghi nhận mức độ bức xạ bất thường nào trên khắp các quốc gia thành viên của hội đồng này sau các cuộc tấn công gần đây của Mỹ vào các cơ sở hạt nhân tại Iran.",Quốc tế,2025-06-23T05:41:00.000Z,Báo Mới,data/images/article_0521_image.png,non-clickbait,False,,False,
article_0636,https://thanhnien.vn/cang-thang-thai-lan-campuchia-tiep-tuc-leo-thang-185250622221627257.htm,Căng thẳng Thái Lan - Campuchia tiếp tục leo thang,Căng thẳng giữa Thái Lan và Campuchia gia tăng sau lệnh khẩn cấp từ Quân khu 2 của Thái Lan về việc đóng cửa khẩu Chong Sai Taku ở tỉnh Buri Ram.,Quốc tế,2025-06-23T05:00:00+07:00,Thanh Niên,data/images/article_0636_image.png,non-clickbait,False,,False,
article_1019,https://www.24h.com.vn/kinh-doanh/toi-pham-mang-thao-tung-tam-ly-nguoi-tre-nhu-the-nao-c161a1674963.html,Tội phạm mạng thao túng tâm lý người trẻ như thế nào?,"Tin rằng bạn thân gặp tai nạn và cần tiền gấp, Thảo My, 20 tuổi tại TP HCM đã chuyển 50 triệu đồng vào tài khoản lạ chỉ sau một cuộc gọi chưa đầy ba phút.",Kinh doanh & Kinh tế,2025-06-23T11:02:00+07:00,24h,data/images/article_1019_image.png,clickbait,False,,False,
